Date,Geography,Labour force characteristics,Sex,Age group,UOM,Scalar Factor,Value
2021-06,Canada,Population,Both sexes,15 years and over,Persons,thousands,31283.3
2021-07,Canada,Population,Both sexes,15 years and over,Persons,thousands,31315.3
2021-08,Canada,Population,Both sexes,15 years and over,Persons,thousands,31356.7
2021-09,Canada,Population,Both sexes,15 years and over,Persons,thousands,31391.3
2021-10,Canada,Population,Both sexes,15 years and over,Persons,thousands,31430.0
2021-11,Canada,Population,Both sexes,15 years and over,Persons,thousands,31466.5
2021-12,Canada,Population,Both sexes,15 years and over,Persons,thousands,31510.3
2017-01,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,19450.5
2017-02,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,19438.6
2017-03,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,19471.3
2017-04,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,19447.3
2017-05,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,19527.5
2017-06,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,19531.3
2017-07,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,19528.3
2017-08,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,19540.6
2017-09,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,19548.4
2017-10,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,19603.1
2017-11,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,19623.4
2017-12,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,19673.0
2018-01,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,19604.4
2018-02,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,19622.2
2018-03,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,19671.3
2018-04,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,19671.4
2018-05,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,19674.5
2018-06,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,19742.5
2018-07,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,19761.2
2018-08,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,19730.7
2018-09,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,19786.1
2018-10,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,19789.0
2018-11,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,19883.2
2018-12,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,19887.2
2019-01,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,20004.1
2019-02,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,20063.5
2019-03,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,20031.2
2019-04,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,20129.4
2019-05,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,20082.4
2019-06,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,20104.0
2019-07,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,20129.4
2019-08,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,20201.9
2019-09,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,20200.6
2019-10,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,20215.8
2019-11,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,20212.3
2019-12,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,20248.6
2020-01,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,20250.9
2020-02,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,20301.3
2020-03,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,19687.3
2020-04,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,18568.7
2020-05,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,19019.7
2020-06,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,19810.3
2020-07,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,19974.6
2020-08,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,20051.6
2020-09,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,20248.7
2020-10,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,20327.9
2020-11,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,20286.9
2020-12,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,20298.5
2021-01,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,20173.6
2021-02,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,20242.3
2021-03,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,20356.7
2021-04,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,20261.3
2021-05,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,20195.0
2021-06,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,20343.1
2021-07,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,20396.0
2021-08,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,20402.6
2021-09,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,20560.7
2021-10,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,20537.4
2021-11,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,20559.8
2021-12,Canada,Labour force,Both sexes,15 years and over,Persons,thousands,20612.3
2017-01,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18133.3
2017-02,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18147.0
2017-03,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18163.4
2017-04,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18182.3
2017-05,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18235.2
2017-06,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18269.1
2017-07,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18290.6
2017-08,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18335.7
2017-09,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18332.8
2017-10,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18371.2
2017-11,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18439.3
2017-12,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18516.1
2018-01,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18435.9
2018-02,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18459.0
2018-03,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18515.4
2018-04,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18501.4
2018-05,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18492.4
2018-06,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18539.4
2018-07,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18605.7
2018-08,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18552.2
2018-09,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18619.2
2018-10,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18630.9
2018-11,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18741.1
2018-12,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18741.0
2019-01,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18822.2
2019-02,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18876.4
2019-03,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18861.7
2019-04,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18971.2
2019-05,Canada,Employment,Both sexes,15 years and over,Persons,thousands,19004.3
2019-06,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18995.7
2019-07,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18965.9
2019-08,Canada,Employment,Both sexes,15 years and over,Persons,thousands,19025.5
2019-09,Canada,Employment,Both sexes,15 years and over,Persons,thousands,19073.1
2019-10,Canada,Employment,Both sexes,15 years and over,Persons,thousands,19063.4
2019-11,Canada,Employment,Both sexes,15 years and over,Persons,thousands,19000.0
2019-12,Canada,Employment,Both sexes,15 years and over,Persons,thousands,19082.4
2020-01,Canada,Employment,Both sexes,15 years and over,Persons,thousands,19116.5
2020-02,Canada,Employment,Both sexes,15 years and over,Persons,thousands,19143.6
2020-03,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18131.4
2020-04,Canada,Employment,Both sexes,15 years and over,Persons,thousands,16145.8
2020-05,Canada,Employment,Both sexes,15 years and over,Persons,thousands,16467.2
2020-06,Canada,Employment,Both sexes,15 years and over,Persons,thousands,17397.7
2020-07,Canada,Employment,Both sexes,15 years and over,Persons,thousands,17801.8
2020-08,Canada,Employment,Both sexes,15 years and over,Persons,thousands,17993.7
2020-09,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18377.7
2020-10,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18467.7
2020-11,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18516.3
2020-12,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18493.4
2021-01,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18285.6
2021-02,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18558.1
2021-03,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18834.4
2021-04,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18635.6
2021-05,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18584.8
2021-06,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18799.4
2021-07,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18879.5
2021-08,Canada,Employment,Both sexes,15 years and over,Persons,thousands,18947.3
2021-09,Canada,Employment,Both sexes,15 years and over,Persons,thousands,19121.8
2021-10,Canada,Employment,Both sexes,15 years and over,Persons,thousands,19141.8
2021-11,Canada,Employment,Both sexes,15 years and over,Persons,thousands,19297.6
2021-12,Canada,Employment,Both sexes,15 years and over,Persons,thousands,19376.2
2017-01,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,14571.9
2017-02,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,14674.2
2017-03,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,14672.7
2017-04,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,14657.4
2017-05,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,14734.5
2017-06,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,14743.4
2017-07,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,14796.1
2017-08,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,14756.1
2017-09,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,14825.5
2017-10,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,14909.1
2017-11,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,14938.8
2017-12,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,14970.9
2018-01,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15016.0
2018-02,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,14979.4
2018-03,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15057.8
2018-04,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15067.9
2018-05,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15046.6
2018-06,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15055.1
2018-07,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15052.3
2018-08,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15109.2
2018-09,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15084.7
2018-10,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15118.2
2018-11,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15207.3
2018-12,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15188.1
2019-01,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15214.7
2019-02,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15273.7
2019-03,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15278.1
2019-04,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15355.8
2019-05,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15394.7
2019-06,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15411.7
2019-07,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15395.9
2019-08,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15403.2
2019-09,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15477.2
2019-10,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15454.6
2019-11,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15412.8
2019-12,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15485.0
2020-01,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15517.1
2020-02,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15552.9
2020-03,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15075.1
2020-04,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,13605.9
2020-05,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,13880.9
2020-06,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,14375.9
2020-07,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,14459.7
2020-08,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,14613.9
2020-09,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,14911.3
2020-10,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,14965.4
2020-11,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15058.3
2020-12,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15120.2
2021-01,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15129.3
2021-02,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15224.8
2021-03,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15384.8
2021-04,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15265.5
2021-05,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15277.6
2021-06,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15235.9
2021-07,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15303.5
2021-08,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15345.0
2021-09,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15558.3
2021-10,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15591.1
2021-11,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15654.5
2021-12,Canada,Full-time employment,Both sexes,15 years and over,Persons,thousands,15797.3
2017-01,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3561.4
2017-02,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3472.8
2017-03,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3490.7
2017-04,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3524.9
2017-05,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3500.8
2017-06,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3525.8
2017-07,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3494.5
2017-08,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3579.6
2017-09,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3507.3
2017-10,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3462.1
2017-11,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3500.5
2017-12,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3545.2
2018-01,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3419.9
2018-02,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3479.7
2018-03,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3457.5
2018-04,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3433.5
2018-05,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3445.8
2018-06,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3484.3
2018-07,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3553.5
2018-08,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3442.9
2018-09,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3534.6
2018-10,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3512.7
2018-11,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3533.8
2018-12,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3552.9
2019-01,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3607.5
2019-02,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3602.6
2019-03,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3583.6
2019-04,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3615.4
2019-05,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3609.7
2019-06,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3584.0
2019-07,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3570.0
2019-08,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3622.4
2019-09,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3595.9
2019-10,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3608.8
2019-11,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3587.3
2019-12,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3597.5
2020-01,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3599.4
2020-02,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3590.7
2020-03,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3056.3
2020-04,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,2539.9
2020-05,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,2586.3
2020-06,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3021.8
2020-07,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3342.2
2020-08,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3379.8
2020-09,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3466.4
2020-10,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3502.3
2020-11,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3458.0
2020-12,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3373.2
2021-01,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3156.3
2021-02,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3333.3
2021-03,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3449.6
2021-04,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3370.0
2021-05,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3307.2
2021-06,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3563.5
2021-07,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3576.1
2021-08,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3602.3
2021-09,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3563.5
2021-10,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3550.7
2021-11,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3643.2
2021-12,Canada,Part-time employment ,Both sexes,15 years and over,Persons,thousands,3578.9
2017-01,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1317.2
2017-02,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1291.6
2017-03,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1307.9
2017-04,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1265.0
2017-05,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1292.2
2017-06,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1262.1
2017-07,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1237.8
2017-08,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1204.9
2017-09,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1215.5
2017-10,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1231.8
2017-11,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1184.2
2017-12,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1156.9
2018-01,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1168.6
2018-02,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1163.2
2018-03,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1155.9
2018-04,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1170.0
2018-05,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1182.1
2018-06,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1203.1
2018-07,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1155.5
2018-08,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1178.6
2018-09,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1166.9
2018-10,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1158.2
2018-11,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1142.1
2018-12,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1146.2
2019-01,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1181.9
2019-02,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1187.1
2019-03,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1169.6
2019-04,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1158.2
2019-05,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1078.1
2019-06,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1108.3
2019-07,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1163.5
2019-08,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1176.4
2019-09,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1127.5
2019-10,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1152.3
2019-11,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1212.2
2019-12,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1166.2
2020-01,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1134.4
2020-02,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1157.6
2020-03,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1555.9
2020-04,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,2422.9
2020-05,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,2552.5
2020-06,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,2412.5
2020-07,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,2172.8
2020-08,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,2058.0
2020-09,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1871.0
2020-10,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1860.2
2020-11,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1770.6
2020-12,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1805.0
2021-01,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1888.0
2021-02,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1684.3
2021-03,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1522.2
2021-04,Canada,Unemployment,Both sexes,15 years and over,Persons,thousands,1625.7
